When Born,Albert Einstein was born on 14 March 1879.
schools,"Einstein received private lessons at home starting in 1884 and attended „Petersschule” (Peter’s School), a catholic public school in Munich, from October 1885 until 1888. „Luitpold-Gymnasium“ (Luitpold Grammar School), also in Munich, followed from October 1888 until 1894. However, he left this grammar school before time in December 1894 without taking his exams. To make up his graduation exam (Matur) he attended the business department of the Cantonal School in Aarau, Switzerland from October 1895 until October 1896. He studied at the Polytechnic (the later Swiss Technical Academy, ETH) in Zurich starting in October 1896."
good or bad,"Albert Einstein, whose school performance seemed already very promising in elementary school, became a good student. He was always amongst the better students in his class. He received especially good marks in maths and the natural sciences, some worse marks in the languages, in drawing and in sports."
5 in math,"Einstein’s performance in maths was always well up to excellent and in his school reports he received the marks good and very good. The rumour about the 5 in maths has proposedly developed from the fact that in Einstein’s school reports, for example from the Cantonal School Aarau, the mark 5 and even 6 can be found in maths. However, we have to consider that the criteria for school performance in Germany and Switzerland are different. That means, mark 1 (very good) in Germany corresponds to mark 6 in Switzerland; mark 2 (good) equals mark 5; etc."
repeat year school,Albert Einstein never had to “repeat a year” during his whole school time.
leaving certificate,"He passed the school leaving examination (Matur) at the Cantonal School in Aarau, Switzerland, in October 1896."
after school,"Einstein studied at the Polytechnic (the later Swiss Technical Academy, ETH) in Zurich from 1896 until 1900. The aim of his studies was the subject teacher diploma for maths and physics. He ended his studies successfully in July 1900."
military service,"No! Einstein escaped the German military service by giving up the German citizenship as 17-year-old with the approval of his father. It was different with Swiss army. Einstein became a Swiss citizen in February 1901 and was summoned by the military officials for the medical examination one month later. At the medical examination on March 13, 1901 Einstein was attested varicosities, flat and sweaty feet.
Thus he was declared ""Unqualified A"" (""Untauglich A"") by the examination committee. The “A” means, that he could only be used for ""helpers’ services"" (""Hülfsdienste und Platzdienst""). However, the Swiss Army has never summoned Einstein to perform these services."
married,"Yes! Albert Einstein was married two times. He married Mileva Maric (1875-1948) in January 1903, a former fellow student from his time as a student at the Polytechnic in Zurich. They were divorced in February 1919. 4 months later, in June 1919, he married his cousin Elsa Löwenthal (1876-1936), nee Einstein."
children,"With Mileva Maric, his first wife, he had three children.
Lieserl (1902-?), who was born illegitimate, Hans Albert (1904-1973) and Eduard (1910-1965)."
nickname children,"As a child Hans Albert was called Buio, Swiss for “boy”. However, in Einstein’s letters he was also only called Bu. Later Hans Albert was called Adn or just Albert. Eduard was only called Tede or Tedel by Mileva, Serbian word for ""child"". In Einstein’s letters he is also called Tete, Tetel and Teddy."
tall,"In his Swiss ""little log book"" (Dienstbüchlein) of 1901 a body height of 171,5 cm is stated. In his passport dated 1923 175 cm are stated."
eye color ,Einstein had brown eyes (Source: Einstein’s passport dated 1923).
left right handed,Einstein was right-handed.
hobby,Einstein very much liked to play the violin and the piano. Sailing was also special to him.
instrument,"	He played the violin and the piano."
on more violin,"He had several violins in his life. The ""last"" violin was handed down to his grandson, Bernhard Caesar. Legend has it that Einstein called all its violins Lina – supposedly deduced from ""violin""."
good violin player,"Here different opinions do exist. Ze'ev Rosenkranz writes in his book , Albert Einstein - Privat und ganz persönlich (Albert Einstein – Private and very personal) about Einstein playing the violin: ""... He himself liked to scoff at his 'incompetence', which he rarely found “impressing”, however, this did not reduce his joy in playing the 'violin'. Supposedly he was a good amateur musician with an own intuitive understanding of the music. In his later years he didn’t like the notes produced by himself any more; in the end he stopped playing the violin and only fantasized on the piano."""
favourite composers,"Next to Mozart, whose music he liked best, there were for example Vivaldi, Bach, Schubert and Corelli."
sailing boat,"Einstein had a boat in Caputh, near Potsdam, named Tümmler, which was confiscated during the national socialist seizure of power in 1933 and sold one year later. In the US he had a sailing boat of his own called Tinnef."
swim,Though Einstein liked sailing very much he could not swim. He even denied to use swim vests. This led to his family always worrying very much when he was out sailing.
smoke,He smoked cigar and pipe despite his wife Elsa and his doctors forbid him to smoke .
alcohol,"Albert Einstein drank only few alcohol. If at all, a glass of wine or a little glass of cognac. Mostly he only sipped on the alcoholics served to him."
favourite book and a favourite author,"Einstein liked reading very much and he read a lot. Therefore it is difficult to name single books or authors. Despite that fact a small selection in the following: He very much liked to read Don Quijote by Cervantes Saavedra and The Karamasow Brothers by Dostojewski. David Humes Traktat about human nature had according to Einstein’s own words quite an influence on his development.
Here the authors have to be mentioned Poincaré, Mach, Tolstoi, Heine, Shaw as well as Schopenhauer and Spinoza. As a student he read with increasing enthusiasm the Naturwissenschaftlichen Volksbücher (Natural-Scientific Popular Books) by Aaron Bernstein and dealt among other things with Ludwig Büchners Kraft und Stoff (Energy and Matter) and Kant’s Kritik der reinen Vernunft (Critique of Pure Reason)."
